URL;"Traffic (%)";"Number of Keywords";Traffic;"Adwords Positions";"Positions with commercial intents in top 20";"Positions with informational intents in top 20";"Positions with navigational intents in top 20";"Positions with transactional intents in top 20";"Positions with unknown intents in top 20";"Traffic with commercial intents in top 20";"Traffic with informational intents in top 20";"Traffic with navigational intents in top 20";"Traffic with transactional intents in top 20";"Traffic with unknown intents in top 20"
tiktok;1,04;292;2889;0;138;47;0;0;0;2403;673;0;0;0
asian;0,81;141;2237;0;122;0;0;0;0;2235;0;0;0;0
big-tits;0,65;200;1796;0;149;1;0;2;0;1795;0;0;0;0
trans;0,61;117;1703;0;92;0;0;0;0;1702;0;0;0;0
teen;0,48;60;1344;0;58;1;0;0;0;1344;1;0;0;0
milf;0,33;80;923;0;63;0;0;0;0;923;0;0;0;0
youtube;0,18;52;515;0;37;3;0;1;0;515;196;0;0;0
blonde;0,15;79;428;0;39;1;0;0;0;428;0;0;0;0
amateur;0,15;39;422;0;32;0;0;0;0;422;0;0;0;0
cosplay;0,14;25;413;0;20;0;0;0;0;413;0;0;0;0
big-ass;0,09;59;251;0;54;1;0;0;0;250;0;0;0;0
tattoos;0,08;22;244;0;10;2;0;0;0;244;0;0;0;0
male;0,03;178;110;0;74;15;0;0;0;106;7;0;0;0
goth;0,03;18;94;0;12;0;0;0;0;94;0;0;0;0
brunette;0,02;12;65;0;8;0;0;0;0;65;0;0;0;0
ebony;0,02;73;61;0;53;3;0;0;0;60;0;0;0;0
couple-3;0,01;44;54;0;28;0;0;0;0;50;0;0;0;0
chubby;0,01;4;48;0;4;0;0;0;0;48;0;0;0;0
feet;0,01;78;33;0;26;3;0;0;0;33;0;0;0;0
twitter;0,01;125;28;0;14;4;24;23;0;22;2;6;6;0
pregnant;0;5;18;0;3;1;0;0;0;8;10;0;0;0
petite;0;1;17;0;1;0;0;0;0;17;0;0;0;0
tiktok-stars;0;1;1;0;1;0;0;0;0;1;0;0;0;0
